recipient,amount
0x9fe28743a23395f98f3e3c61a61faa661262cfce,1684468739715630000
0xc1575eb1d05a1aa3d9b35825254272024a6a3b6d,1677387403721160000
0x505428711f235aef769bc9320977c7c3cbb6cd87,1677191215155940000
0x4928b5f32e9971319c789e1d40bcc7e164bf1732,1671308354966560000
0x2493336e00a8adfc0eedd18961a49f2acaf8793f,1655814853184610000
0xfb1505a1cd99243270d79ea2098442689f577e35,1644578348697640000
0x47a3512cc8a233b4acb5380c420f72dab3f34e48,1633777311307630000
0x7f1bd897447599c7d072d1c9d3148587b0088d99,1632651771987620000
0xde5471166523e657d54a50126013daa6daf8dad4,1626919327170780000
0x57044279119770dc7954b6303d1584857659b052,1625694948360180000
0xc8b6b7548d644b2688a91fecb36f4c8e8eb6c1a1,1619531836758270000
0x2fcca736c4557533bf4a6c8c2d2d32e945caecb9,1598988735708460000
0x35ffc49e7fefc188dff81db3c717db098294bc23,1578211846272260000
0xd120723f9182af7621580880fe5d0263b0ec6340,1576909657599180000
0x295f492284b43e295573be70923d1af871f9fb8f,1575142847318110000
0x8705a6b4a6a017df2eea31a78eaf6432932c546b,1570414068447290000
0x583047d6f20fc804f38f25bc25c1f7cdb04956f4,1569859404520690000
0xf699a15379a32f0eb4320acad71f1b34fbe7ad82,1560622594909190000
0xe5ad128199223580dfe6851152690122db3302f3,1557916486994580000
0x03bbcec99a1d7837568767ed77b54f53bc4c4d90,1541003738627410000
0x90c704a09d29d783c33dd0c0767c10e28b63de62,1539563517303820000
0xc7811fac3b4519132769ceebb15a7ffe40e097ec,1536069058002400000
0x126048c741b280a73cd3ba96448e038fefdef925,1535786492495600000
0x9bc7110f598ff64f0f8181c33b7bf7dcb8978b7c,1523828574518730000
0xae5ac85d8a1dfc3fd3186330f78cf0be466f0934,1520461050031570000
0x739db17cbcec38288b7873d15c2d4afeba30c905,1516067884723690000
0xa767143e0cf2be0a0d2d670e50a1731ab23b63b6,1505405641471560000
0x8461f99cf4e07898cafce965067d658cd27a5a66,1496543725630830000
0x023d41cdbe4435a9099d6ffe28cd8cb13a6acdb0,1488688638316860000
